Season,Matchday,Player,Wins,Losses,Ties,Pts,MPD,TMP,TCA,PCA,UfPE,OE,QPct,TPA,CAA,PCAA,UfPA,DE,NUfP,QPO,QPD,OPD,FW,FL,3PT,MCW,Rundle,Rundle Rank,League,Branch
93,1,AlbertyM,1,0,0,2,3,9,5,1.8,3,1,0.83333333333333,6,5,1.2,0,1,3,1.8333333333333,1.8333333333333,2,0,0,1,0,A Quarry,4,Quarry,AntiochosB
93,1,AlbinoM,0,1,0,0,-3,3,2,1.5,2,0.5,0.33333333333333,6,5,1.2,0,1,2,0.83333333333333,1.3333333333333,1.5,0,0,0,0,C Magnolia Div 2,20,Magnolia,TurnerJ2
93,1,AlbrechtA,0,1,0,0,-3,2,1,2,2,0.66666666666667,0.16666666666667,5,4,1.25,1,0.75,1,0.83333333333333,0.91666666666667,1.4166666666667,0,0,0,0,E Union Div 1,32,Union,OlmanJ
93,1,AlbrechtJ,1,0,0,2,2,5,4,1.25,1,0.25,0.66666666666667,3,3,1,1,0.8,0,0.91666666666667,1.4666666666667,1.05,0,0,0,1,A Frontier,9,Frontier,JayI
93,1,AlbrechtM,1,0,0,2,1,6,4,1.5,2,0.5,0.66666666666667,5,3,1.6666666666667,3,0.4,-1,1.1666666666667,1.0666666666667,0.9,0,0,1,0,C Village Div 2,12,Village,RamadeiJ
93,1,AlbrechtZ,1,0,0,2,2,7,5,1.4,1,0.33333333333333,0.83333333333333,5,3,1.6666666666667,3,0.4,-2,1.1666666666667,1.2333333333333,0.73333333333333,0,0,1,0,B Frontier,7,Frontier,JayI
93,1,AlbrightM,0,1,0,0,-3,1,2,0.5,0,0,0.33333333333333,4,4,1,0,1,0,0.33333333333333,1.3333333333333,1,0,0,0,0,C Highland Div 1,23,Highland,MaebiusA
93,1,AlcornG,1,0,0,2,1,6,4,1.5,2,0.5,0.66666666666667,5,4,1.25,1,0.75,1,1.1666666666667,1.4166666666667,1.25,0,0,0,0,B Fjord,10,Fjord,McKinneyWC
93,1,AlcornS,0,1,0,0,-2,2,2,1,1,0.25,0.33333333333333,4,3,1.3333333333333,2,0.6,-1,0.58333333333333,0.93333333333333,0.85,0,0,0,1,D Zephyr Div 2,25,Zephyr,AlcornS
93,1,AldenL,0,1,0,0,-4,2,1,2,2,0.66666666666667,0.16666666666667,6,4,1.5,2,0.5,0,0.83333333333333,0.66666666666667,1.1666666666667,0,0,0,2,D Tundra Div 1,29,Tundra,ZieglerP
93,1,AldenN,0,1,0,0,-1,2,1,2,2,0.66666666666667,0.16666666666667,3,1,3,3,0,-1,0.83333333333333,0.16666666666667,0.66666666666667,0,0,0,0,E Palisade Div 1,21,Palisade,AmuzieCC
93,1,AldenR2,0,1,0,0,-2,0,0,--,0,0,0,2,1,2,2,0.33333333333333,-2,0,0.33333333333333,0.33333333333333,0,0,0,2,R Central,21,Central,ZieglerP
93,1,AldermanD,0,1,0,0,-4,5,4,1.25,1,0.25,0.66666666666667,9,6,1.5,0,0,1,0.91666666666667,0.66666666666667,0.25,0,0,0,0,A Seneca,27,Seneca,MintzR
93,1,AldershofN,0,0,1,1,0,2,2,1,1,0.25,0.33333333333333,2,2,1,1,0.75,0,0.58333333333333,1.0833333333333,1,0,0,0,0,C Sugarloaf Div 1,14,Sugarloaf,McGeeQ
93,1,AldrichD,0,1,0,0,-3,0,1,0,0,0,0.16666666666667,3,2,1.5,2,0.5,-2,0.16666666666667,0.66666666666667,0.5,0,0,0,0,E Citadel Div 1,30,Citadel,WeberE
93,1,AldrichK,1,0,0,2,3,6,5,1.2,0,0,0.83333333333333,3,3,1,1,0.8,-1,0.83333333333333,1.6333333333333,0.8,0,0,0,0,D Horizon Div 2,1,Horizon,DimitriCRob
93,1,AlekarS,1,0,0,2,1,4,3,1.3333333333333,2,0.4,0.5,3,2,1.5,2,0.5,0,0.9,1,0.9,0,0,0,0,E Laguna Div 1,8,Laguna,MartinN
93,1,AlessiC,1,0,0,2,3,6,4,1.5,2,0.5,0.66666666666667,3,2,1.5,2,0.5,0,1.1666666666667,1.1666666666667,1,0,0,1,0,D Laurel Div 1,4,Laurel,SellM
93,1,AlevyM,0,0,1,1,0,3,3,1,1,0.2,0.5,3,1,3,3,0,-2,0.7,0.5,0.2,0,0,0,0,D Sunrise Div 1,22,Sunrise,ReedyM
93,1,Alexander-Fagan S,1,0,0,2,1,3,3,1,1,0.2,0.5,2,2,1,1,0.75,0,0.7,1.25,0.95,0,0,0,1,R Aurora,11,Aurora,RautY
93,1,AlexanderDJ,1,0,0,2,2,4,2,2,3,0.75,0.33333333333333,2,3,0.66666666666667,0,1,3,1.0833333333333,1.3333333333333,1.75,0,0,1,0,D Rubicon Div 2,7,Rubicon,TangrediF
93,1,AlexanderJK,1,0,0,2,1,6,4,1.5,2,0.5,0.66666666666667,5,4,1.25,1,0.75,1,1.1666666666667,1.4166666666667,1.25,0,0,1,1,D Citadel Div 1,11,Citadel,GordonA
93,1,AlexanderJR,1,0,0,2,1,9,6,1.5,0,0,1,8,5,1.6,2,0.33333333333333,-2,1,1.3333333333333,0.33333333333333,0,0,1,0,A Maritime,12,Maritime,SiyS
93,1,AlexanderJS,0,0,1,1,0,7,5,1.4,1,0.33333333333333,0.83333333333333,7,5,1.4,1,0.66666666666667,0,1.1666666666667,1.5,1,0,0,1,0,A Rainforest,14,Rainforest,OlivieriG
93,1,AlexanderM,0,1,0,0,-1,6,4,1.5,2,0.5,0.66666666666667,7,4,1.75,3,0.25,-1,1.1666666666667,0.91666666666667,0.75,0,0,1,1,D Sierra Div 1,20,Sierra,HunterTJ
93,1,AlexanderM755,0,1,0,0,-4,3,2,1.5,2,0.5,0.33333333333333,7,5,1.4,1,0.66666666666667,1,0.83333333333333,1,1.1666666666667,0,0,1,0,B Midland,33,Midland,RaphelB
93,1,AlexanderMJ,0,1,0,0,-4,2,3,0.66666666666667,0,0,0.5,6,4,1.5,2,0.5,-2,0.5,1,0.5,0,0,0,0,B Continental,30,Continental,HechtR
93,1,AlexanderS2,0,1,0,0,-2,0,0,--,0,0,0,2,1,2,2,0.33333333333333,-2,0,0.33333333333333,0.33333333333333,0,0,0,2,E Rainforest Div 1,27,Rainforest,OlivieriG
93,1,AlexanderT,0,1,0,0,-2,6,5,1.2,0,0,0.83333333333333,8,5,1.6,2,0.33333333333333,-2,0.83333333333333,1.1666666666667,0.33333333333333,0,0,0,0,A Cosmos,21,Cosmos,WhitakerM
93,1,AlexanderT212,0,1,0,0,-2,5,4,1.25,1,0.25,0.66666666666667,7,5,1.4,1,0.66666666666667,0,0.91666666666667,1.3333333333333,0.91666666666667,0,0,0,0,B Mesa,24,Mesa,HamburgerM
93,1,AlexanderTJ,1,0,0,2,3,5,4,1.25,1,0.25,0.66666666666667,2,3,0.66666666666667,0,1,1,0.91666666666667,1.6666666666667,1.25,0,0,1,0,C Typhoon Div 2,3,Typhoon,AlexanderTJ
93,1,AlexanderW,1,0,0,2,1,4,3,1.3333333333333,2,0.4,0.5,3,3,1,1,0.8,1,0.9,1.3,1.2,0,0,0,0,D Alpine Div 1,14,Alpine,BoylesS
93,1,AlexandrowN,1,0,0,2,2,7,4,1.75,3,0.75,0.66666666666667,5,4,1.25,1,0.75,2,1.4166666666667,1.4166666666667,1.5,0,0,1,0,B Riviera,8,Riviera,SpeerJ
93,1,AlexB,0,1,0,0,-2,1,1,1,1,0.33333333333333,0.16666666666667,3,1,3,3,0,-2,0.5,0.16666666666667,0.33333333333333,0,0,0,0,R Summit,21,Summit,NagorskyM
93,1,AlexsonP,0,1,0,0,-6,0,0,--,0,0,0,6,3,2,4,0.2,-4,0,0.2,0.2,0,0,0,0,D Denali Div 1,31,Denali,DeekerA
