season,league
73,Pacific
73,Highland
73,Skyline
73,Cascade
73,Archipelago
73,Piedmont
73,Coastal
73,Juniper
73,Prairie
73,Tundra
73,Fjord
73,Tidewater
73,Sierra
73,Badlands
73,Seaboard
73,Sugarloaf
73,Metro
74,Plaza
74,Maritime
74,Alpine
74,Horizon
74,Delta
74,Morningstar
74,Midland
74,Garden
74,Olympic
74,Corridor
74,Glacier
74,Memorial
74,Maelstrom
74,Magnolia
74,Laguna
74,Atlantic
74,Sequoia
74,Central
74,Bayou
74,Continental
74,Meridian
74,Arcadia
74,Frontier
74,Pacific
74,Highland
74,Skyline
74,Cascade
74,Archipelago
74,Peninsula
74,Piedmont
74,Coastal
74,Summit
74,Juniper
74,Prairie
74,Tundra
74,Valley
74,Fjord
74,Tidewater
74,Sierra
74,Badlands
74,Seaboard
74,Sugarloaf
74,Metro
75,Plaza
75,Maritime
75,Alpine
75,Horizon
75,Delta
75,Morningstar
75,Midland
75,Garden
75,Olympic
75,Corridor
75,Canyon
75,Glacier
75,Memorial
75,Maelstrom
75,Magnolia
75,Laguna
75,Atlantic
75,Sequoia
75,Central
75,Bayou
75,Continental
75,Meridian
75,Arcadia
75,Typhoon
75,Frontier
75,Pacific
75,Highland
75,Skyline
75,Cascade
75,Archipelago
75,Peninsula
75,Piedmont
75,Coastal
75,Summit
75,Juniper
75,Prairie
75,Tundra
75,Valley
75,Citadel
75,Fjord
75,Tidewater
75,Sierra
75,Badlands
75,Seaboard
75,Sugarloaf
75,Metro
76,Plaza
76,Maritime
76,Alpine
76,Horizon
76,Delta
76,Morningstar
76,Midland
76,Commonwealth
76,Garden
76,Olympic
76,Corridor
76,Canyon
76,Glacier
76,Memorial
76,Maelstrom
76,Magnolia
76,Laguna
76,Sugarloaf
76,Atlantic
76,Sequoia
76,Central
76,Bayou
76,Continental
76,Meridian
76,Arcadia
76,Typhoon
76,Frontier
76,Pacific
76,Highland
76,Skyline
76,Cascade
76,Elysium
76,Archipelago
76,Peninsula
76,Taiga
76,Piedmont
76,Coastal
76,Summit
76,Juniper
76,Prairie
76,Tundra
76,Valley
76,Citadel
76,Fjord
76,Tidewater
76,Sierra
76,Badlands
76,Seaboard
76,Rubicon
76,Metro
77,Plaza
77,Maritime
77,Alpine
77,Horizon
77,Delta
77,Morningstar
77,Midland
77,Commonwealth
77,Garden
77,Zephyr
77,Olympic
77,Corridor
77,Canyon
77,Glacier
77,Memorial
77,Maelstrom
77,Magnolia
77,Laguna
77,Sugarloaf
77,Palisade
77,Atlantic
77,Sequoia
77,Nebula
77,Central
77,Bayou
77,Continental
77,Meridian
77,Arcadia
77,Typhoon
77,Frontier
77,Pacific
77,Highland
77,Skyline
77,Cascade
77,Elysium
77,Archipelago
77,Peninsula
77,Taiga
77,Piedmont
77,Coastal
77,Summit
77,Juniper
77,Polaris
77,Prairie
77,Tundra
77,Valley
77,Citadel
77,Fjord
77,Tidewater
77,Sierra
77,Badlands
77,Seaboard
77,Rubicon
77,Metro
78,Plaza
78,Maritime
78,Alpine
78,Horizon
78,Delta
78,Morningstar
78,Midland
78,Commonwealth
78,Garden
78,Zephyr
78,Olympic
78,Corridor
78,Canyon
78,Glacier
78,Memorial
78,Maelstrom
78,Mesa
78,Magnolia
78,Laguna
78,Laurel
78,Palisade
78,Sugarloaf
78,Atlantic
78,Sequoia
78,Nebula
78,Galaxy
78,Central
78,Bayou
78,Isthmus
78,Continental
78,Meridian
78,Arcadia
78,Typhoon
78,Frontier
78,Pacific
78,Highland
78,Skyline
78,Cascade
78,Elysium
78,Archipelago
78,Peninsula
78,Taiga
78,Piedmont
78,Coastal
78,Summit
78,Juniper
78,Polaris
78,Prairie
78,Tundra
78,Valley
78,Citadel
78,Fjord
78,Tidewater
78,Sierra
78,Badlands
78,Seaboard
78,Rubicon
78,Metro
79,Plaza
79,Maritime
79,Alpine
79,Horizon
79,Delta
79,Morningstar
